Країна, Кільскість запитів
Кірибаті,
Науру,
Центральноафриканська Республіка,
Еритрея,
Папуа-Нова Гвінея,
Соломонові Острови,
Ліберія,
Бурунді,
Німеччина,100
Вануату,
Зімбабве,81
Ліхтенштейн,
Бутан,
Маршаллові Острови,
Австрія,73
Сен-Пʼєр і Мікелон,
Південний Судан,
Конго – Браззавіль,
Малаві,
Тонга,
Фолклендські (Мальвінські) Острови,
Уганда,67
Швейцарія,63
Ірландія,63
Нова Каледонія,
Сьєрра-Леоне,
Люксембург,
Франція,57
Гвінея,
Намібія,
Острови Кука,
Руанда,
Мікронезія,
Гібралтар,
Мальта,
Нігер,
Джибуті,
Гернсі,
Сейшельські Острови,
Чад,
Джерсі,
Сен-Мартен,
Французька Полінезія,
Канада,51
Конго – Кіншаса,
Кот-дʼІвуар,48
Комори,
Того,
Велика Британія,46
Острів Мен,
Есватіні,
Лесото,
Мадагаскар,
Фарерські Острови,
Шпіцберген та Ян-Маєн,
Сінгапур,42
Палау,
Гамбія,
Камерун,
Нова Зеландія,40
Реюньйон,
Бенін,
Австралія,40
Гренландія,
Гана,40
Аландські Острови,
Французька Гвіана,
Буркіна-Фасо,
Данія,38
Замбія,
Ботсвана,
Сен-Бартелемі,
Естонія,
Литва,34
Південно-Африканська Республіка,34
Нігерія,34
Малі,
Мальдіви,
Монтсеррат,
Кенія,32
Бельгія,32
Ісландія,
Майотта,
Гаїті,
Фіджі,
Кайманові Острови,
Бермудські Острови,
Гваделупа,
Габон,
Північні Маріанські Острови,
Сполучені Штати,30
Американське Самоа,
Танзанія,
Мартиніка,
Кіпр,
Північна Македонія,
Острови Теркс і Кайкос,
Латвія,
Маврикій,
Косово,
Домініка,
Грузія,
Гуам,
Сенегал,
Віргінські Острови (США),
Екваторіальна Гвінея,
Острів Святої Єлени,
Фінляндія,24
Самоа,
Албанія,
Британські Віргінські острови,
Сомалі,
Беліз,
Сент-Люсія,
Обʼєднані Арабські Емірати,22
Ефіопія,
Словенія,
Гвінея-Бісау,
Сент-Кітс і Невіс,
Ямайка,
Україна,22
Хорватія,20
Сент-Вінсент і Гренадіни,
Індія,20
Аруба,
Сінт-Мартен,
Гренада,
Катар,
Антигуа і Барбуда,
Гаяна,
Швеція,18
Тринідад і Тобаго,
Барбадос,
Кюрасао,
Непал,18
Боснія і Герцеговина,
Багамські Острови,
Чорногорія,
Філіппіни,16
Ангілья,
Норвегія,16
Шрі-Ланка,16
Китай,
Ліван,
Мавританія,
Бруней,
Сербія,16
Румунія,16
Нідерланди,16
Карибські Нідерланди,
Болгарія,16
Чехія,14
Словаччина,14
Андорра,
Бахрейн,
Кабо-Верде,
Вʼєтнам,14
Суринам,
Малайзія,12
Португалія,12
Камбоджа,
Молдова,
Греція,12
Монголія,
Пакистан,12
Мʼянма (Бірма),
Вірменія,
Афганістан,
Угорщина,10
Пуерто-Рико,
Туніс,
Марокко,10
Польща,10
Бангладеш,10
Тімор-Лешті,
Ізраїль,10
Гонконг,10
Оман,
Кувейт,
Азербайджан,
Алжир,
Ангола,
Мозамбік,
Сан-Марино,
Західна Сахара,
Макао,
Сан-Томе і Принсіпі,
Італія,4
Туркменістан,
Іспанія,4
Лаос,
Коста-Рика,
Йорданія,
Південна Корея,4
Палестина,
Саудівська Аравія,4
Панама,
Куба,
Ірак,
Єгипет,
Таїланд,2
Узбекистан,
Судан,
Домініканська Республіка,
Лівія,
Таджикистан,
Тайвань,
Туреччина,2
Росія,2
Киргизстан,
Нікарагуа,
Ємен,
Індонезія,2
Сирія,
Уругвай,
Білорусь,
Гондурас,
Мексика,2
Казахстан,
Парагвай,
Чилі,
Іран,
Гватемала,
Сальвадор,
Болівія,
Японія,<1
Аргентина,
Колумбія,
Бразилія,<1
Перу,
Еквадор,
Венесуела,
Тувалу,
Антарктика,
Французькі Південні Території,
Острів Буве,
Кокосові (Кілінг) Острови,
Острів Різдва,
Острови Герд і Макдоналд,
Британська територія в Індійському Океані,
Монако,
Острів Норфолк,
Ніуе,
Острови Піткерн,
Північна Корея,
Південна Джорджія та Південні Сандвічеві Острови,
Токелау,
Віддалені острови США,
Ватикан,
Уолліс і Футуна,
