Date, Interest
2015-08,47
2015-09,27
2015-10,22
2015-11,17
2015-12,25
2016-01,20
2016-02,30
2016-03,25
2016-04,26
2016-05,22
2016-06,27
2016-07,22
2016-08,19
2016-09,27
2016-10,24
2016-11,23
2016-12,35
2017-01,36
2017-02,37
2017-03,42
2017-04,41
2017-05,39
2017-06,39
2017-07,50
2017-08,41
2017-09,35
2017-10,36
2017-11,31
2017-12,39
2018-01,29
2018-02,28
2018-03,26
2018-04,28
2018-05,21
2018-06,24
2018-07,28
2018-08,25
2018-09,25
2018-10,20
2018-11,22
2018-12,24
2019-01,22
2019-02,21
2019-03,18
2019-04,18
2019-05,20
2019-06,22
2019-07,22
2019-08,18
2019-09,15
2019-10,18
2019-11,19
2019-12,25
2020-01,24
2020-02,25
2020-03,30
2020-04,31
2020-05,27
2020-06,25
2020-07,30
2020-08,31
2020-09,75
2020-10,100
2020-11,89
2020-12,100
2021-01,89
2021-02,78
2021-03,63
2021-04,66
2021-05,46
2021-06,37
2021-07,34
2021-08,34
2021-09,25
2021-10,26
2021-11,31
2021-12,44
2022-01,36
2022-02,30
2022-03,28
2022-04,26
2022-05,24
2022-06,26
2022-07,27
2022-08,27
2022-09,23
2022-10,24
2022-11,24
